Issue ID,Severity,Priority,Title,Owner,Effort,Confidence,Affected URLs,Source Files,Exact Fix,Testing Method,Status
KD-01,Critical,P1,Quote form shows success without sending lead data,"Developer; Growth/CRM",Medium,High,"/request-quote","components/QuoteForm.tsx","Implement real server action or API route, persist/send enquiry, and show confirmation only on successful response","Submit test enquiry, verify storage/delivery, verify success and failure states",Open
KD-02,High,P1,Schema pattern inconsistent across shared vs custom commercial pages,"Developer; SEO",Medium,High,"/face-wash-manufacturer; /face-serum-manufacturer; /hair-serum-manufacturer; /sunscreen-manufacturer","components/ContentPageRenderer.tsx; components/ProductPageRenderer.tsx; app/face-wash-manufacturer/page.tsx; app/face-serum-manufacturer/page.tsx; app/hair-serum-manufacturer/page.tsx","Standardize product/service commercial pages on Manufacturer + WebPage + Service + FAQPage + BreadcrumbList and remove extra custom Organization objects unless uniquely required","Validate rendered JSON-LD on 5 pages in Schema Markup Validator",Open
KD-03,High,P1,City pages use LocalBusiness semantics without city-specific office proof,"SEO; Developer",Medium,High,"/city/*","app/city/[slug]/page.tsx; lib/schema.ts","Replace LocalBusiness with Manufacturer + WebPage + Service for city landing pages unless a true local office exists and is visible","Validate updated city schemas and visible page facts",Open
KD-04,High,P1,No analytics or conversion measurement stack,"Growth; Developer",Medium,High,Site-wide,"app; components; data; lib","Add one primary analytics stack and track quote success, WhatsApp clicks, phone clicks, CTA clicks, and blog-to-commercial transitions","Confirm events in debug view on desktop and mobile",Open
KD-05,Medium,P2,Shared product hero mapping exceeds actual asset coverage,"Design/Content; Developer",Medium,High,"Shared product pages using ProductPageRenderer","data/products.ts; components/ProductPageRenderer.tsx; public/images/product/*","Create missing optimized hero files or intentionally reduce hero mapping list to match available assets","Review each shared product page for real hero or approved fallback",Open
KD-06,Medium,P2,Blog listing schema is too thin,"SEO; Developer",Low,High,"/blog","app/blog/page.tsx","Add CollectionPage or Blog schema with ItemList of posts","Validate blog listing schema and linked post URLs",Open
KD-07,Medium,P2,Generic OG image still used on many commercial hubs,"Content; Developer",Medium,High,"/about-kiora-cosmotech; /private-label-cosmetics-manufacturer-india; /third-party-cosmetic-manufacturing-india; /skincare-manufacturer-india; /blog","lib/seo.ts and per-page metadata callers","Assign page-specific OG images to top commercial and editorial hubs while keeping generic fallback for long-tail pages","Check source and share debuggers for updated OG image output",Open
KD-08,Medium,P2,Homepage above-the-fold still depends on several reveal/showcase layers,Developer,Medium,Medium,"/","app/page.tsx; components/home/AnimatedSkincareHero.tsx","Reduce or remove non-essential above-the-fold reveal/showcase wrappers on the homepage","Compare lab performance and interaction metrics before/after",Open
KD-09,Low,P3,Retail Product schema helper remains available for a B2B service site,Developer,Low,High,Schema library,"lib/schema.ts","Remove or clearly retire productSchema to prevent accidental reuse on manufacturing pages","Search repo after cleanup to confirm no Product schema use on commercial pages",Open
KD-10,Low,P3,Sitemap lastModified values are hard-coded,"Developer; SEO",Low,High,"/sitemap.xml","app/sitemap.ts","Drive lastModified from maintained content data or omit misleading fixed values","Compare live sitemap output against actual content update dates",Open
