Priority,Area,Page URL,File Path,Issue,Severity,Confidence,Owner,Impact,Effort,Exact Fix,Status,Notes
P1,Conversion SEO,/request-quote,components/QuoteForm.tsx,Quote form does not capture leads,Critical,High,Developer,Very High,Medium,"Replace local-only submit handler with real submission flow, success/error handling, and event tracking.",Not Started,"Current state only toggles submitted=true"
P1,Analytics,Sitewide,app/layout.tsx,No analytics or conversion tracking detected,Critical,High,Developer + SEO,Very High,Medium,"Add GA4 or GTM, then track quote submits, WhatsApp clicks, phone clicks, and primary CTA clicks.",Not Started,"No GA4/GTM/Clarity patterns found in source"
P1,Crawlability & Canonicals,Sitewide,data/siteConfig.ts; app/robots.ts; lib/seo.ts,Canonical host remains Vercel subdomain,High,High,Developer + SEO,High,Low,"Set NEXT_PUBLIC_SITE_URL to the intended primary production domain and redeploy.",Not Started,"Only valid if Vercel subdomain is truly the main ranking domain"
P1,EEAT & Trust,Sitewide,Footer/navigation/routes,Privacy and Terms pages missing,High,High,Business + Content + Developer,High,Medium,"Add Privacy Policy and Terms pages, link them in footer, and reference data handling near the quote form.",Not Started,"No legal/trust policy routes detected"
P2,Schema,/moisturizer-manufacturer and other shared pages,components/ProductPageRenderer.tsx,Shared product pages use lighter schema than custom product pages,High,High,Developer,High,Low-Medium,"Add manufacturerSchema and page-level WebPage schema to shared renderer output.",Not Started,"Validate on 5 shared-renderer product pages"
P2,Schema,/private-label-cosmetics-manufacturer-india and other shared content pages,components/ContentPageRenderer.tsx,Shared content pages use lighter schema than custom pages,High,High,Developer,Medium,Low-Medium,"Add manufacturer or page-level schema where appropriate while keeping content-visible alignment.",Not Started,"Avoid fake or duplicate schema"
P2,Schema,/hair-serum-manufacturer,app/hair-serum-manufacturer/page.tsx,Duplicate Service schema on hair serum page,High,High,Developer,Medium,Low,"Remove the generic serviceSchema call and keep only the detailed Service object.",Not Started,"Live JSON-LD shows two Service types"
P2,On-Page SEO,/hair-serum-manufacturer,app/hair-serum-manufacturer/page.tsx,Hair serum title and meta description are too long,High,High,SEO + Developer,High,Low,"Shorten title and description to SERP-friendly length while keeping primary keyword intent.",Not Started,"Live title 92 chars, meta 274 chars"
P2,On-Page SEO,/face-wash-manufacturer; /sunscreen-manufacturer; multiple blogs,Respective page files,Remaining meta descriptions too long,Medium,High,SEO + Content + Developer,Medium,Low,"Trim descriptions to roughly 120-155 characters without losing keyword clarity.",Not Started,"Live crawl flagged several pages"
P3,EEAT & Content,/blog/[slug],app/blog/[slug]/page.tsx,Blog template lacks author bio and editorial note,Medium,High,Content + Developer,Medium,Low-Medium,"Add reusable author/editorial block explaining expertise, review method, and update logic.",Not Started,"Author/date already exists"
P2,Conversion SEO,/request-quote,components/QuoteForm.tsx,No thank-you flow or tracked success state,Medium,High,Developer + CRO,Medium,Medium,"Add dedicated thank-you page or structured success step with analytics event and next-step CTA.",Not Started,"Needed after form backend is added"
P3,Performance,/face-wash-manufacturer; /face-serum-manufacturer; /sunscreen-manufacturer; /hair-serum-manufacturer,Custom product page files,Long product pages ship heavy HTML,Medium,Medium,Developer + SEO + Content,Medium,Medium,"Collapse lower-priority keyword banks and secondary clusters into progressive disclosure without hiding essential crawlable text.",Not Started,"HEAD payloads 371-423 KB HTML"
P4,Tooling,Repository,package.json; ESLint config,Lint is not configured as a stable quality gate,Low,High,Developer,Low,Low,"Commit a non-interactive ESLint config and run it in CI.",Not Started,"next lint currently prompts for setup"
